date,feature,ic,ic_ma60,ic_std60
2018-12-28,atr10,0.0,,
2019-01-02,atr10,0.0,,
2019-01-03,atr10,0.0,,
2019-01-04,atr10,0.0,,
2019-01-07,atr10,-0.011688902331363639,,
2019-01-08,atr10,-0.04150882740150345,,
2019-01-09,atr10,-0.0019844143605425883,,
2019-01-10,atr10,0.3575485509964674,,
2019-01-11,atr10,-0.12154654836373752,,
2019-01-14,atr10,0.11470137961741597,,
2019-01-15,atr10,-0.3051983022061582,,
2019-01-16,atr10,-0.07383432894207673,,
2019-01-17,atr10,0.21055163706812624,,
2019-01-18,atr10,0.10605884050526675,,
2019-01-21,atr10,0.06676575269338297,,
2019-01-22,atr10,-0.18858553697990382,,
2019-01-23,atr10,-0.11602778245997601,,
2019-01-24,atr10,0.14757068014412966,,
2019-01-25,atr10,-0.06391294865952381,,
2019-01-28,atr10,0.08868579864325851,,
2019-01-29,atr10,0.04882353460802562,,
2019-01-30,atr10,-0.18162363130047054,,
2019-01-31,atr10,0.07434471859687171,,
2019-02-01,atr10,0.17999153588241293,,
2019-02-07,atr10,-0.06422515502033799,,
2019-02-08,atr10,0.5584354760619656,,
2019-02-11,atr10,-0.12240688366049625,,
2019-02-12,atr10,0.3659023378019394,,
2019-02-13,atr10,0.2672647478201036,,
2019-02-14,atr10,-0.0343823799692655,,
2019-02-15,atr10,0.38871966536687286,,
2019-02-18,atr10,-0.5307888191346148,,
2019-02-19,atr10,0.08605748357226832,,
2019-02-20,atr10,0.2950940389413355,,
2019-02-21,atr10,0.09455907726189204,,
2019-02-22,atr10,-0.09081277683373598,,
2019-02-25,atr10,-0.32531566277356855,,
2019-02-26,atr10,0.083623118705684,,
2019-02-27,atr10,-0.1085614805597633,,
2019-02-28,atr10,0.14640009783140284,,
2019-03-04,atr10,0.08529588688871814,,
2019-03-05,atr10,-0.3449498398210005,,
2019-03-06,atr10,0.240068922369272,,
2019-03-07,atr10,0.22767526742172886,,
2019-03-08,atr10,0.1517960047798121,,
2019-03-11,atr10,-0.04987889125956537,,
2019-03-12,atr10,-0.10181002804173114,,
2019-03-13,atr10,0.2755658197812405,,
2019-03-14,atr10,0.18701611384841704,,
2019-03-15,atr10,-0.031074383066406357,,
2019-03-18,atr10,-0.0805623503193787,,
2019-03-19,atr10,-0.006803409868186894,,
2019-03-20,atr10,-0.42995600553949653,,
2019-03-21,atr10,-0.48465812071017866,,
2019-03-22,atr10,-0.1806635387528999,,
2019-03-25,atr10,0.458694182042537,,
2019-03-26,atr10,0.6077209695773075,,
2019-03-27,atr10,-0.173609661127584,,
2019-03-28,atr10,0.06528236353990553,,
2019-03-29,atr10,0.7350058261253907,0.04081415365049475,0.24691942429035457
2019-04-01,atr10,-0.684030973901589,0.029413637418801594,0.2640338730515581
2019-04-02,atr10,-0.26538824673881795,0.024990499973154626,0.2667439711053694
2019-04-03,atr10,-0.07922108543916612,0.02367014854916853,0.2670656413602627
2019-04-04,atr10,0.06324756057701061,0.024724274558785366,0.2670954496952566
2019-04-05,atr10,0.31919379802332853,0.03023898623136357,0.2697337178364666
2019-04-08,atr10,-0.10013846144564505,0.029261825663961214,0.2701039872969918
2019-04-09,atr10,-0.07765952098149212,0.028000573886945386,0.2704288519721769
2019-04-10,atr10,0.7280990556635786,0.03417641563139724,0.28206327059343944
2019-04-11,atr10,0.06018708951380814,0.037205309596023,0.2813375465303608
2019-04-12,atr10,-0.20752588557750398,0.031834855176107665,0.28290428699345915
2019-04-15,atr10,-0.2569989130819814,0.03263817832817728,0.28199802190625145
2019-04-16,atr10,0.8183106455434013,0.04750726123626858,0.29927963315684547
2019-04-17,atr10,-0.2652889196594702,0.03957658529080864,0.3011844942652404
2019-04-18,atr10,0.1795979390446506,0.0408022369331317,0.30160895750237415
2019-04-19,atr10,-0.6587129047853532,0.02871092597515277,0.31480381764952786
2019-04-22,atr10,0.7821836023932567,0.044890411631372105,0.3281117510313384
2019-04-23,atr10,0.41232223892125114,0.05369624532105923,0.3307987474825124
2019-04-24,atr10,0.2954580796038465,0.05616103531205451,0.33205862083154675
2019-04-25,atr10,-0.7496885303261382,0.044731442284277605,0.34769581380832104
2019-04-26,atr10,0.45870527896284696,0.05089843362293742,0.35174650932534135
2019-04-29,atr10,0.6340798038543813,0.06065270477704334,0.3597126503753959
2019-04-30,atr10,-0.6652729759810782,0.05259188236569988,0.3704914262611805
2019-05-02,atr10,0.3165691847910763,0.05662895680226996,0.37204890491277415
2019-05-03,atr10,-0.3953729212627784,0.047039549183183434,0.376207048085177
2019-05-07,atr10,-0.5578487832508415,0.03881248871267504,0.38399818651546963
2019-05-08,atr10,-0.3648247284406076,0.02342481863763216,0.381311962639164
2019-05-09,atr10,-0.48977945858569966,0.017301942388878767,0.38660610020448377
2019-05-10,atr10,-0.6225697500589822,0.0008274075911967382,0.3925151676980741
2019-05-13,atr10,-0.01093701376486015,-0.0038092884352193246,0.39095452212542603
2019-05-14,atr10,0.6330495098375779,0.007314576394894732,0.3994723396108306
2019-05-15,atr10,-0.47695286844770296,-0.007113299168681531,0.40109312831647054
2019-05-16,atr10,0.1677659945352902,0.00452928105915022,0.39573745564178064
2019-05-17,atr10,-0.4999999441937546,-0.005238342736950162,0.4008900774341409
2019-05-20,atr10,-0.4999999686737188,-0.018489909530534403,0.4039237988756465
2019-05-21,atr10,0.4999999981543393,-0.011732560848993613,0.4092039334079125
2020-01-02,atr10,0.2918926128255392,-0.005354137688005694,0.4109294383835174
2020-01-03,atr10,-0.06923265923920997,-0.0010860876290997184,0.40887462977165473
