year_month,feature,monthly_event_pred_mean,monthly_direction_acc_mean,days_in_month,monthly_success_rate
2019-01,ret_5,-0.004978354978354976,0.45454545454545453,22,0.002262888626524989
2019-01,ema10,-0.003030303030303032,0.5,22,0.001515151515151516
2019-01,ema5,-0.003030303030303032,0.5,22,0.001515151515151516
2019-01,ema20,-0.003030303030303032,0.5,22,0.001515151515151516
2019-01,ema50,-0.003030303030303032,0.5,22,0.001515151515151516
2019-01,curv5,0.001515151515151516,0.4090909090909091,22,0.000619834710743802
2019-01,macd_hist,-2.523234146875356e-18,0.5454545454545454,22,1.3763095346592848e-18
2019-01,parkinson20,0.0,0.36363636363636365,22,0.0
2019-01,vol20,0.0,0.36363636363636365,22,0.0
2019-01,don55_lo,0.0,0.36363636363636365,22,0.0
2019-01,sma50,0.0,0.4090909090909091,22,0.0
2019-01,ma_squeeze_20_50,0.0,0.36363636363636365,22,0.0
2019-01,corr_close_vol20,0.0,0.36363636363636365,22,0.0
2019-01,don55_hi,0.0,0.36363636363636365,22,0.0
2019-01,gk20,0.0,0.36363636363636365,22,0.0
2019-01,roc20,0.0,0.36363636363636365,22,0.0
2019-01,corr_obv_vwap20,0.0,0.36363636363636365,22,0.0
2019-02,parkinson20,0.13823529411764707,0.47058823529411764,17,0.06505190311418685
2019-02,gk20,0.12352941176470589,0.47058823529411764,17,0.05813148788927336
2019-02,rel_range,0.10882352941176471,0.5294117647058824,17,0.057612456747404846
2019-02,atr14,0.09999999999999999,0.5294117647058824,17,0.052941176470588235
2019-02,tr14,0.09999999999999999,0.5294117647058824,17,0.052941176470588235
2019-02,vol20,0.11176470588235293,0.47058823529411764,17,0.052595155709342555
2019-02,atr5,0.09705882352941175,0.5294117647058824,17,0.051384083044982695
2019-02,curv5,0.08529411764705883,0.5294117647058824,17,0.04515570934256056
2019-02,atr10,0.08529411764705883,0.5294117647058824,17,0.04515570934256056
2019-02,vol10,0.08529411764705883,0.47058823529411764,17,0.04013840830449827
2019-02,obv,0.08235294117647059,0.47058823529411764,17,0.03875432525951557
2019-02,roc5,0.058823529411764705,0.5294117647058824,17,0.031141868512110725
